Ticker symbol,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740
ABT,Abbott Laboratories,Health Care,Health Care Equipment & Services,"North Chicago, Illinois",,1800
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/12,1551152
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/11,1467373
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,"Santa Monica, California",8/31/15,718877
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment,"Atlanta, Georgia",5/3/16,1144215
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",,796343
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",7/9/15,1158449
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",,874761
AET,Aetna Inc,Health Care,Managed Health Care,"Hartford, Connecticut",6/30/76,1122304
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",,4977
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",7/1/14,1004434
A,Agilent Technologies Inc,Health Care,Health Care Equipment & Services,"Santa Clara, California",,1090872
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/85,2969
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",7/12/07,1086222
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",5/13/16,766421
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",7/1/16,915913
AA,Alcoa Inc,Materials,Aluminum,"New York, New York",,4281
AGN,Allergan plc,Health Care,Pharmaceuticals,"Dublin, Ireland",,884629
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/16,352541
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut",5/25/12,899866
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",12/2/13,1579241
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/13,1101215
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",,899051
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services,"Mountain View, California",4/3/14,1652044
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services,"Mountain View, California",,1652044
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",,764180
AMZN,Amazon.com Inc,Consumer Discretionary,Internet Retail,"Seattle, Washington",11/18/05,1018724
AEE,Ameren Corp,Utilities,MultiUtilities,"St. Louis, Missouri",9/19/91,1002910
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",3/23/15,6201
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",,4904
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",6/30/76,4962
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,"New York, New York",3/31/80,5272
AMT,American Tower Corp A,Financials,Specialized REITs,"Boston, Massachusetts",11/19/07,1053507
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Voorhees, New Jersey",3/4/16,1410636
AMP,Ameriprise Financial,Financials,Diversified Financial Services,"Minneapolis, Minnesota",,820027
ABC,AmerisourceBergen Corp,Health Care,Health Care Distribution & Services,"Chesterbrook, Pennsylvania",,1140859
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/13,1037868
AMGN,Amgen Inc,Health Care,Biotechnology,"Thousand Oaks, California",1/2/92,318154
APH,Amphenol Corp A,Industrials,Electrical Components & Equipment,"Wallingford, Connecticut",9/30/08,820313
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",,773910
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",,6281
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",,315293
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,6769
AIV,Apartment Investment & Mgmt,Financials,REITs,"Denver, Colorado",,922864
AAPL,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",11/30/82,320193
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment,"Santa Clara, California",,6951
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Decatur, Illinois",7/29/81,7084
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",5/31/16,354190
AIZ,Assurant Inc,Financials,Multi-line Insurance,"New York, New York",4/10/07,1267238
T,AT&T Inc,Telecommunications Services,Integrated Telecommunications Services,"Dallas, Texas",11/30/83,732717
ADSK,Autodesk Inc,Information Technology,Application Software,"San Rafael, California",12/1/89,769397
ADP,Automatic Data Processing,Information Technology,Internet Software & Services,"Roseland, New Jersey",3/31/81,8670
AN,AutoNation Inc,Consumer Discretionary,Specialty Stores,"Fort Lauderdale, Florida",,350698
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",,866787
AVGO,Avago Technologies,Information Technology,Semiconductors,"San Jose, California",5/8/14,1441634
AVB,"AvalonBay Communities, Inc.",Financials,Residential REITs,"Arlington, Virginia[3]",1/10/07,915912
AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",12/31/87,8818
BHI,Baker Hughes Inc,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,808362
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/84,9389
BAC,Bank of America Corp,Financials,Banks,"Charlotte, North Carolina",6/30/76,70858
BK,The Bank of New York Mellon Corp.,Financials,Banks,"New York, New York",,1390777
BCR,Bard (C.R.) Inc.,Health Care,Health Care Equipment & Services,"Murray Hill, New Jersey",6/30/75,9892
BAX,Baxter International Inc.,Health Care,Health Care Equipment & Services,"Deerfield, Illinois",9/30/72,10456
BBT,BB&T Corporation,Financials,Banks,"Winston-Salem, North Carolina",,92230
BDX,Becton Dickinson,Health Care,Health Care Equipment & Services,"Franklin Lakes, New Jersey",9/30/72,10795
BBBY,Bed Bath & Beyond,Consumer Discretionary,Specialty Stores,"Union, New Jersey",,886158
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/10,1067983
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",,764478
BIIB,BIOGEN IDEC Inc.,Health Care,Biotechnology,"Weston, Massachusetts",,875045
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",4/4/11,1364742
HRB,Block H&R,Financials,Consumer Finance,"Kansas City, Missouri",11/30/86,12659
BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",,12927
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/11,908255
BXP,Boston Properties,Financials,REITs,"Boston, Massachusetts",,1037540
BSX,Boston Scientific,Health Care,Health Care Equipment & Services,"Marlborough, Massachusetts[4]",,885725
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors & Services,"New York, New York",,14272
BF-B,Brown-Forman Corporation,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/82,14693
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",,1043277
CA,"CA, Inc.",Information Technology,Systems Software,"Islandia, New York",7/31/87,356028
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/08,858470
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,16732
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",,927628
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors & Services,"Dublin, Ohio",,721371
HSIC,Henry Schein,Health Care,Health Care Distributors & Services,"Melville, New York",3/17/15,1000228
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",6/28/10,1170010
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",,815097
CAT,Caterpillar Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Peoria, Illinois",,18230
CBG,CBRE Group,Financials,Real Estate Services,"Los Angeles, California",,1138118
CBS,CBS Corp.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",9/1/94,813828
CELG,Celgene Corp.,Health Care,Biotechnology,"Summit, New Jersey",,816284
CNC,Centene Corporation,Health Care,Managed Health Care,"St Louis, Missouri",3/30/16,1071739
CNP,CenterPoint Energy,Utilities,MultiUtilities,"Houston, Texas",7/31/85,1130310
CTL,CenturyLink Inc,Telecommunications Services,Integrated Telecommunications Services,"Monroe, Louisiana",,18926
CERN,Cerner,Health Care,Health Care Distributors & Services,"North Kansas City, Missouri",4/30/10,804753
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/08,1324404
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"San Francisco, California",,316709
CHK,Chesapeake Energy,Energy,Integrated Oil & Gas,"Oklahoma City, Oklahoma",,895126
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",,93410
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Denver, Colorado",4/28/11,1058090
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/10,896159
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/15,313927
CI,CIGNA Corp.,Health Care,Managed Health Care,"Philadelphia, Pennsylvania",6/30/76,701221
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",6/21/14,1168054
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",,20286
CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",,723254
CSCO,Cisco Systems,Information Technology,Networking Equipment,"San Jose, California",12/1/93,858877
C,Citigroup Inc.,Financials,Banks,"New York, New York",5/31/88,831001
CTXS,Citrix Systems,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",,877890
CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",3/31/69,21076
CME,CME Group Inc.,Financials,Diversified Financial Services,"Chicago, Illinois",,1156375
CMS,CMS Energy,Utilities,MultiUtilities,"Jackson, Michigan",,811156
COH,Coach Inc.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132
KO,The Coca Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,21344
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Services,"Teaneck, New Jersey",,1058290
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",,21665
CMCSA,Comcast A Corp,Consumer Discretionary,Broadcasting & Cable TV,"Philadelphia, Pennsylvania",,1166691
CMA,Comerica Inc.,Financials,Banks,"Dallas, Texas",,28412
CAG,ConAgra Foods Inc.,Consumer Staples,Packaged Foods & Meats,"Omaha, Nebraska",8/31/83,23217
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2/22/16,1358071
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165
ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",,1047862
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",,16918
GLW,Corning Inc.,Industrials,Construction & Engineering,"Corning, New York",,24741
COST,Costco Co.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/93,909832
CCI,Crown Castle International Corp.,Financials,REITs,"Houston, Texas",3/14/12,1051470
CSRA,CSRA Inc.,Information Technology,IT Consulting & Services,"Falls Church, Virginia",12/1/15,1646383
CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",9/30/67,277948
CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/65,26172
CVS,CVS Health,Consumer Staples,Drug Retail,"Woonsocket, Rhode Island",,64803
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,882184
DHR,Danaher Corp.,Industrials,Industrial Machinery,Washington D.C,,313616
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",7/31/08,927066
DE,Deere & Co.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Moline, Illinois",,315189
DLPH,Delphi Automotive,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",12/24/12,1521332
DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",9/11/13,27904
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"York, Pennsylvania",11/14/08,818479
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",,1090012
DO,Diamond Offshore Drilling,Energy,Oil & Gas Drilling,"Houston, Texas",2/26/09,949039
DLR,Digital Realty Trust,Financials,Specialized REITs,"San Francisco, California",5/18/16,1297996
DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/07,1393612
DISCA,Discovery Communications-A,Consumer Discretionary,Broadcasting & Cable TV,"Silver Spring, Maryland",3/1/10,1437107
DISCK,Discovery Communications-C,Consumer Discretionary,Broadcasting & Cable TV,"Silver Spring, Maryland",8/7/14,1437107
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/12,29534
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/11,935703
D,Dominion Resources,Utilities,Electric Utilities,"Richmond, Virginia",,715957
DOV,Dover Corp.,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/85,29905
DOW,Dow Chemical,Materials,Diversified Chemicals,"Midland, Michigan",,29915
